player_id,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0038393,Dontayvion Wicks,GB,2024,8,0,0,00-0036264,0,JAX,0.6153846153846154,Healthy,422.0,422.0,0.0,38.75,0.0,0.75,00-0036264,0.0,196.0,0.0,196.0,0.0,192.0,0.0,4.0,0.5577000000000001,0.8181999999999999,1.0
00-0038394,Will Mallory,IND,2024,8,0,0,00-0026158,0,HOU,0.3076923076923077,Healthy,302.0,302.0,0.0,4.0,0.0,0.0,,,,,,0.0,12.0,0.0,0.0,0.5574,0.6667000000000001,1.0
00-0038396,Eric Gray,NYG,2024,8,0,0,00-0035710,0,PIT,0.28985507246376807,Healthy,,,5.0,14.25,0.0,0.0,,,,,,26.0,66.0,0.0,0.0,0.4717,0.5,
00-0038400,Tanner McKee,PHI,2024,8,0,0,00-0036389,0,CIN,0.4032258064516129,Healthy,397.0,397.0,,,,,00-0036389,1.0,236.0,1.0,236.0,,,,,0.5167,0.8,
00-0038416,Tyson Bagent,CHI,2024,8,0,0,00-0039918,0,WAS,0.4504504504504504,Healthy,,,-3.5,0.0,0.0,0.0,,,,,,-7.0,0.0,0.0,0.0,0.5667,0.7143,
00-0038456,Travis Vokolek,ARI,2024,8,0,0,00-0035228,0,MIA,0.3355704697986577,Healthy,389.0,389.0,,,,,00-0035228,2.0,307.0,2.0,307.0,,,,,0.6167,0.375,
00-0038465,Malik Heath,GB,2024,8,0,0,00-0036264,0,JAX,0.6153846153846154,Healthy,422.0,422.0,0.0,13.0,0.0,0.0,00-0036264,0.0,196.0,0.0,196.0,0.0,26.0,0.0,0.0,0.5577000000000001,0.8181999999999999,
00-0038476,Tommy DeVito,NYG,2024,8,0,0,00-0035710,0,PIT,0.28985507246376807,Healthy,,,,,,,,,,,,,,,,0.4717,0.5,
00-0038477,Bryce Ford-Wheaton,NYG,2024,8,0,0,00-0035710,0,PIT,0.28985507246376807,Minor,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.4717,0.5,
00-0038488,Brady Russell,SEA,2024,8,0,1,00-0030565,0,BUF,0.4132231404958678,Minor,,,,,,,,,,,,,,,,0.5536,0.3333,
00-0038496,Xavier Gipson,NYJ,2024,8,0,0,00-0023459,1,NE,0.7101449275362319,Healthy,336.0,336.0,0.0,6.0,0.0,0.0,00-0023459,2.0,233.0,2.0,233.0,0.0,23.0,0.0,1.0,0.46149999999999997,0.7,1.0
00-0038542,Bijan Robinson,ATL,2024,8,0,0,00-0029604,1,TB,0.504950495049505,Minor,394.0,394.0,71.75,28.0,0.75,0.0,00-0029604,4.0,276.0,4.0,276.0,546.0,238.0,4.0,1.0,0.45,0.6154,1.0
